Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
FarMart,2015,Gurgaon,AgriTech,Tech,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,"Alekh Sanghera, Mehtab Singh Hans","Omidyar Network India, Avaana Capital","$24,000,000",Pre-series A
Fyllo,2019,Bangalore,AgriTech,Tech,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels","$400,000",Seed
Superplum,2019,Noida,AgriTech,Tech,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,"$3,800,000",Pre-series A
Aqgromalin,2018,Chennai,AgriTech,Tech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,"$700,000",Seed
AgNext,2016,Chandigarh,AgriTech,Tech,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,Alpha Wave Incubation,"$21,000,000",Series A
Faarms,2020,Bangalore,AgriTech,Tech,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",,"$2,000,000",Seed
BharatAgri,2017,Bangalore,AgriTech,Tech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient","$6,500,000",Series A
Farmers Fresh Zone,2015,Kochi,AgriTech,Tech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network","$800,000",Pre-series A
InfyU Labs,2019,Gandhinagar,AgriTech,Tech,InfyU Labs is a team of dedicated professionals from various fields of engineering with a common goal of making chemical-free fruits and vegetables accessible to everyone.,"Amit Srivastava, Ankit Chauhan",IAN,"$200,000",Seed
Gramophone,2016,Indore,AgriTech,Tech,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.","Tauseef Khan, Harshit Gupta",Z3Partners,"$10,000,000",
BharatAgri,2017,Bangalore,AgriTech,Tech,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient","$6,500,000",Series A
Farmers Fresh Zone,2015,Kochi,AgriTech,Tech,D2C Health and Wellness Brand for Fresh and Safe Fruits and Vegetables from farmers through traceable Supply Chain,Pradeep PS,"IAN Fund, Malabar Angel Network, Native Angel Network","$800,000",Pre-series A
InfyU Labs,2019,Gandhinagar,AgriTech,Tech,InfyU Labs is a team of dedicated professionals from various fields of engineering with a common goal of making chemical-free fruits and vegetables accessible to everyone.,"Amit Srivastava, Ankit Chauhan",IAN,"$200,000",Seed
AgroStar,2013,Pune,AgriTech,Tech,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.","Shardul, Sitanshu Sheth","Evolvence, Hero Enterprise","$70,000,000",Series D
LimeChat,2020,"Faridabad, Haryana",AI Chatbot,AI,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma","$7,500,000",Seed
Keito,2016,Pune,AI company,AI,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises",Amal P S,"Rajesh Agarwal, Nandkishore Mundada",,Seed
Wysa,2015,Bangalore,AI company,AI,Wysa is an AI conversational agent that has been shown to help improve mental health,"Jo Aggarwal, Ramakant Vempati","W Health Ventures, Pi Ventures","$5,000,000",Series A
UptimeAI,2016,Bangalore,AI startup,AI,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures","Jagadish Gattu, Vamsi Yalamanchili",YourNest Venture Capital,"$1,500,000",Seed
NeoDove,2020,Jaipur,AI startup,AI,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",Aprit Khandelwal,India Quotient,"$15,000,000",Seed
Wysa,2015,Bangalore,AI startup,AI,Wysa is an AI conversational agent that has been shown to help improve mental health,"Jo Aggarwal, Ramakant Vempati","Kae Capital, Pi Ventures",,
Unbox Robotics,2019,Bangalore,AI startup,AI,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First","$1,200,000",Pre-series A
Rezo.ai,2017,Noida,AI startup,AI,Conversational AI platform - Innovate the way you communicate,"Manish Gupta, Rashi Gupta","Devesh Sachdev, Bhavesh Manglani",,Seed
Enthu.ai,2020,Chandigarh,AI startup,AI,Enthu.AI operates as a conversation intelligence startup.,"Tushar Jain, Vishal Verma",Appit Simple Infotek,"$200,000",
Myelin Foundry,2019,Bangalore,AI startup,AI,"Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video, voice, and sensor data, for consumer edge devices","Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann",Beyond Next Ventures,"$1,000,000",Pre-series A
SuperOps.ai,2020,Chennai,AI startup,AI,SuperOps.ai is an early stage startup in the MSP space.,"Arvind Parthiban, Jayakumar Karumbasalam","Ramakant Sharma, Elevation Capital","$3,000,000",Seed
saarthi.ai,2017,Bangalore,AI startup,AI,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,,Seed
Skit,2016,Bangalore,AI startup,AI,Enabling enterprises to automate their contact centre operations using Voice AI.,"Sourabh Gupta, Akshay Deshraj",WestBridge Capital,"$23,000,000",Series B
Skit,2016,Bangalore,AI startup,AI,Enabling enterprises to automate their contact centre operations using Voice AI.,"Sourabh Gupta, Akshay Deshraj",WestBridge Capital,"$23,000,000",Series B
Locobuzz,2011,Mumbai,Analytics,Analytics,LocoBuzz is an analytics-based integrated marketing platform.,Vishal Agrawal,Yuj Ventures,"$4,000,000",Series A
LetsDressUp,2019,Gurgaon,Apparel & Fashion,Fashion,Building India's version of Stitch Fix,Aditya B,"Titan Capital, Sequoia Capital","$300,000",Pre-series A
Bewakoof,2012,Mumbai,Apparel & Fashion,Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,"$8,000,000",
Bewakoof,2012,Mumbai,Apparel & Fashion,Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,"$8,000,000",
Fashinza,2020,Gurgaon,Apparel & Fashion,Fashion,A new-age supply chain and product development platform for the fashion industry.,"Pawan Gupta, Abhishek Sharma","Accel Partners, Elevation Capital","$20,000,000",Series A
Flatheads,2018,Bangalore,Apparel & Fashion,Fashion,Flatheads are an enthusiastic team of young professionals building a retail brand in the casual footwear space.,"Utkarsh Biradar, Ganesh Balakrishnan","We Founder Circle, Dexter Angels","$1,000,000",Pre-series A
Nap Chief,2019,Mumbai,Apparel & Fashion,Fashion,India's favourite Kid's wear and Family Sleepwear D2C Brand,Raghav Gupta,Titan Capital,"$200,000",Seed
Flatheads,2018,Bangalore,Apparel & Fashion,Fashion,Flatheads are an enthusiastic team of young professionals building a retail brand in the casual footwear space.,"Utkarsh Biradar, Ganesh Balakrishnan","We Founder Circle, Dexter Angels","$1,000,000",Pre-series A
Fabriclore,2016,Jaipur,Apparel & Fashion,Fashion,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Vijay Sharma, Anupam Arya, Sandeep Sharma","Fluid Ventures, Mulberry Silks","$700,000",Pre-series A
Verandah,2011,Mumbai,Apparel & Fashion,Fashion,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora","$1,000,000",Seed
Plutomen,2016,Ahmedabad,AR startup,AI,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,Keyur Bhalavat,"GUSEC Seed Fund, DeVX Venture Fund","$300,000",
My3DSelfie,2016,Guwahati,Arts & Crafts,Media,World's first to create 3d figurine from photos,Harsha P Deka,"NEVF, AccelNest",,Pre-series A
Wallmantra,2013,Noida,Arts & Crafts,Media,WallMantra is a well reputed wall decoration online store in India.,Shivam Agarwal,Velocity,,
My3DSelfie,2016,Guwahati,Arts & Crafts,Media,World's first to create 3d figurine from photos,Harsha P Deka,"NEVF, AccelNest",,Pre-series A
Homingos,2018,Bangalore,Augmented reality,AI,Homingos is an Augmented reality (AR)-based social networking platform.,"Shourya Agarwal, Malhar Patil, Rajat Gupta","Sundi Natarajan, Srinivas Anumolu",,
AutomataPi,2017,Mumbai,Automation,Automation,AutomataPi is a next generation cognitive business process automation engine.,"Devesh Rao, Manjeet Khopkar, Rahul Hattangdi",Indian Angel Network,"$400,000",Seed
Detect Technologies,2016,Chennai,Automation,Automation,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,Daniel Raj David,"Accel Partners, Elevation Capital","$12,000,000",
Droom,2014,Gurgaon,Automobile,Automotive,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",Sandeep Aggarwal,,"$200,000,000",
Euler Motors,2018,New Delhi,Automotive,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,"ADB Ventures, Jetty Ventures","$2,600,000",Series A
Euler Motors,2018,New Delhi,Automotive,Automotive,Electric Light Commercial Vehicle,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu","$4,000,000",Series A
Pitstop,2015,Bangalore,Automotive,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture","$3,500,000",Pre-series B
ParkSmart,2018,New Delhi,Automotive,Automotive,ParkSmart is a parking management application.,"Prateek Garg, Rahul Gupta, Ratan Anmol Sethi, Rishabh Nagpal, Vishva Sharma","Shireen Rangaswamy, Dilesh Gathani",,Seed
GoMechanic,2016,Gurgaon,Automotive,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",Kushal Karwa,"Tiger Global, Sequoia","$42,000,000",Series C
Grinntech,2013,Chennai,Automotive,Automotive,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.","Nikhilesh Mishra, Puneet Jain",,"$2,000,000",
CredR,2015,Bangalore,Automotive,Automotive,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,Sasidhar Nandigam,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures","$6,500,000",
Raptee Energy,2019,Chennai,Automotive,Automotive,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,Phunith Kumar,,"$700,000",
Fixcraft,2018,Gurgaon,Automotive,Automotive,India's Most Trusted Automotive Repair Brand,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",,"$1,000,000",Pre-series A
GODI Energy,2020,Hyderabad,Automotive,Automotive,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,Mahesh Godi,Blue Ashva Capital,,
Spinny,2015,Gurgaon,Automotive,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,"$108,000,000",Series D
Automovill,2015,Bangalore,Automotive,Automotive,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.","Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,"$500,000",
Ola Electric,2017,Bangalore,Automotive,Automotive,Ola Electric - The future of mobility is here. Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,Bank of Baroda,"$100,000,000",Debt
Ati Motors,2017,Bangalore,Automotive,Automotive,Autonomous industrial vehicle maker,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners","$35,000,000",Pre-series A
ION Energy,2016,Mumbai,Automotive,Automotive,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,Akhil Aryan,,"$3,600,000",Pre-series A
goEgoNetwork,2019,Pune,Automotive,Automotive,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.","Dheeman Kadam, Sayantan Chakraborti",,"$2,000,000",
RACEnergy,2018,Hyderabad,Automotive,Automotive,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy,"Micelio Fund, growX ventures","$1,300,000",Seed+
BatteryPool,2018,Pune,Automotive,Automotive,Building the Operating System for managing Electric Vehicles in fleets.,Ashwin Shankar,IAN,,Seed
PumPumPum,2018,Gurgaon,Automotive,Automotive,Pumpumpum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates.,Tarun Lawadia,LC Nueva AIF,,
Ola Electric,2017,Bangalore,Automotive,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,"Falcon Edge, Softbank","$200,000,000",
CARS24,2015,Gurgaon,Automotive,Automotive,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.","Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2","$450,000,000",Series F
BeepKart,2020,Bangalore,Automotive,Automotive,BeepKart is building a platform to digitize and organize the used two-wheeler market.,"Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures","$3,000,000",Seed
REVOS,2017,Bangalore,Automotive,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT solutions,"Mohit Yadav, Jyotrian Jan Harichandran",,"$4,000,000",Series A
kWh Bikes,2020,Bangalore,Automotive,Automotive,Building India’s strongest and smartest electric 2 wheelers,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital","$2,000,000",Seed
Ola Electric,2017,Bangalore,Automotive,Automotive,Sustainability for the future.,Bhavish Aggarwal,"Falcon Edge, Softbank","$200,000,000",
CarDekho,2008,Jaipur,Automotive,Automotive,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,"Amit Jain, Anurag Jain",,"$250,000,000",Series E
SUN Mobility,2017,Bangalore,Automotive,Automotive,Provider of universal energy infrastructure and services to accelerate mass EV usage!,Chetan Maini,Vitol,"$50,000,000",
PumPumPum,2018,Gurgaon,Automotive,Automotive,Pumpumpum is empowering millennials with a smart car subscription model. We provide monthly subscription of pre-owned cars at affordable rates.,Tarun Lawadia,LC Nueva AIF,,
Ola Electric,2017,Bangalore,Automotive,Automotive,Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,"Falcon Edge, Softbank","$200,000,000",
CARS24,2015,Gurgaon,Automotive,Automotive,"CARS24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.","Mehul Agrawal, Vikram Chopra","DST Global, Falcon Edge, SoftBank Vision Fund 2","$450,000,000",Series F
BeepKart,2020,Bangalore,Automotive,Automotive,BeepKart is building a platform to digitize and organize the used two-wheeler market.,"Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures","$3,000,000",Seed
REVOS,2017,Bangalore,Automotive,Automotive,REVOS is a smart mobility platform that empowers all 2 and 3 wheeler vehicles through AI-integrated IoT solutions,"Mohit Yadav, Jyotrian Jan Harichandran",,"$4,000,000",Series A
Simple Energy,2019,Bangalore,Automotive,Automotive,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,Suhas Rajkumar,,"$21,000,000",Pre-series
Spinny,2015,Gurgaon,Automotive,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur","Abu Dhabi Growth Fund, Tiger Global","$248,000,000",Series E
CHARGE+ZONE,2018,Vadodara,Automotive,Automotive,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Kartikey Hariyani,Venture Catalysts,"$10,000,000",
Exponent Energy,2020,Bangalore,Automotive,Automotive,Simplifying energy for EVs by building a Flexible Energy Stack.,"Arun Vinayak, Sanjay Byalal",YourNest VC,"$5,000,000",Pre-series A
Ultraviolette,2021,Bangalore,Automotive,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho","$150,000,000",Series C
Ultraviolette,2021,Bangalore,Automotive,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho","$150,000,000",Series C
Skylark Drones,2014,Bangalore,Aviation,Aviation,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund","$3,000,000",Pre-series A
TechEagle,2015,Gurgaon,Aviation & Aerospace,Aviation,"Safe, secure & reliable On-Demand Drone delivery network for medical, parcel & essential items",Vikram Singh Meena,India Accelerator,"$500,000",Seed
TechEagle,2015,Gurgaon,Aviation & Aerospace,Aviation,"Safe, secure & reliable On-Demand Drone delivery network for medical, parcel & essential items",Vikram Singh Meena,India Accelerator,"$500,000",Seed
Geniemode,2021,Gurgaon,B2B,B2B,"Transforming global sourcing for retailers & suppliers in furniture, hard goods & fashion industry using technology.","Amit Sharma, Tanuj Gangwani",Info Edge Ventures,"$2,000,000",
ReshaMandi,2020,Bangalore,B2B,B2B,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.",Utkarsh Apoorva,"9Unicorns, Venture Catalysts, Sandeep Singhal","$30,000,000",Series A
Geniemode,2021,Gurgaon,B2B,B2B,"Transforming global sourcing for retailers & suppliers in furniture, hard goods & fashion industry using technology.","Amit Sharma, Tanuj Gangwani",Info Edge Ventures,"$2,000,000",
Bizongo,2015,Mumbai,B2B Ecommerce,B2B,izongo is India’s largest B2B platform for made-to-order products.,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,"$100,000,000",Series D
Jumbotail,2015,Bangalore,B2B Ecommerce,B2B,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores","S Karthik Venkateswaran, Ashish Jhina",Invus,"$85,000,000",Series C
Bizongo,2015,Mumbai,B2B E-commerce,B2B,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital","$51,000,000",Series C
TyrePlex,2020,New Delhi,B2B E-commerce,B2B,Tyreplex is digitizing the tyre dealers in India.,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders,,Seed
Fashinza,2020,Gurgaon,B2B Manufacturing,B2B,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital","$2,600,000",Seed
Taskmo,2018,Bangalore,B2B Marketplace,B2B,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,"Prashant Janadari, Naveen Ramchandra",Quess Corp India,"$1,400,000",
Yojak,2019,Gurgaon,B2B marketplace,B2B,India’s first B2B online marketplace for building material.,Anuj Jain,Info Edge Ventures,"$3,800,000",
VenWiz,2020,Bangalore,B2B service,B2B,Digitising the interactions between core industry and vendors for engineering services,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture","$300,000",Seed
Bijnis,2014,New Delhi,B2B service,B2B,Digitizing the Factories of the Unorganised Industries.,"Chaitanya Rathi, Shubham Agarwal, Siddharth Rastogi, Siddharth Vij","Sequoia Capital India, Matrix Partners India",,
FreeStand,2017,New Delhi,B2B service,B2B,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park","$100,000",
Bijnis,2015,New Delhi,B2B startup,B2B,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,"$30,000,000",Series B
Bijnis,2015,New Delhi,B2B startup,B2B,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,"Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,"$30,000,000",Series B
TravClan,2018,New Delhi,B2B Travel,B2B,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,"Arun Bagaria, Ashish Thapliyal",TheVentures,"$2,200,000",Pre-series A
TravClan,2018,New Delhi,B2B Travel,B2B,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,"Arun Bagaria, Ashish Thapliyal",TheVentures,"$2,200,000",Pre-series A
SATYA MicroCapital,2017,New Delhi,Banking,Finance,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Vivek Tiwari,"responsAbility Investments, Blue Orchard","$10,000,000",
Jupiter,2019,Mumbai,Banking,Finance,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta,"Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India","$44,000,000",Series B
Neobank Jupiter,2019,Mumbai,Banking,Finance,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,Jitendra Gupta,"Tiger Global, Sequoia Capital","$86,000,000",Series C
Battery Smart,2019,New Delhi,Battery,Tech,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,"Pulkit Khurana, Siddharth Sikka",Orios Venture Partners,,Seed
Purplle,2011,Mumbai,Beauty products,Fashion,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.","Manish Taneja, Rahul Dash","Spring Marketing Capital, Verlinvest","$45,000,000",
MyGlamm,2015,Mumbai,Beauty products,Fashion,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Darpan Sanghvi,Bessemer Venture Partners,"$20,000,000",Series C
Nao Spirits & Beverages Pvt Ltd,2016,New Delhi,Beverages,Food,India's first Craft Gin company,Anand Virmani,,"$2,000,000",Series A
Tilt,2016,Bangalore,Bike Rental,Automobile,A bike-share for Indian campuses,Deepak VS,Y Combinator,"$125,000",
Elucidata,2015,New Delhi,BioTechnology,Tech,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,"$5,000,000",Pre-series A
Biocon Biologics,1978,Bangalore,BioTechnology,Tech,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital","$70,000,000",
Stelis Biopharma,2007,Bangalore,BioTechnology,Tech,Stelis Biopharma is a vertically integrated biopharmaceutical company.,Pudhucode Radhakrishnan Kannan,"RouteOne, Mankekar Family Office","$195,000,000",Series B
Zaara Biotech,2016,Kottayam,BioTechnology,Tech,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,Najeeb Bin Haneef,TCN International Commerce,"$10,000,000",
Clensta,2016,New Delhi,BioTechnology,Tech,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,Puneet Gupta,"IAN Fund, World Startup Factory","$600,000",
Mynvax,2017,Bangalore,Biotechnology,Tech,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd","$4,000,000",Series A
Sea6 Energy,2010,Bangalore,Biotechnology,Tech,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.","Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,"$9,000,000",Series B
LifeCell,2004,Chennai,Biotechnology,Tech,A building block of the team that preserves the building blocks of life,S. Abhaya Kumar,Orbimed Asia Partners,"$30,000,000",
immunitoAI,2020,Bangalore,Biotechnology,Tech,Perform Antibody Discovery using Artificial Intelligence.,"Aridni Shah, Trisha Chatterjee",pi Ventures,"$1,000,000",Seed
Prolgae,2016,The Nilgiris,Biotechnology,Tech,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,Aakas Sadasivam,Vijayan,"$200,000",Seed
Mestastop Solutions,2018,Bangalore,Biotechnology,Tech,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, METAssay, METSCAN, and METVivo.",Dr Arnab Roy Chowdhury,CIIE.CO,"$100,000",
LifeCell,2004,Chennai,Biotechnology,Tech,A building block of the team that preserves the building blocks of life,S. Abhaya Kumar,Orbimed Asia Partners,"$30,000,000",
immunitoAI,2020,Bangalore,Biotechnology,Tech,Perform Antibody Discovery using Artificial Intelligence.,"Aridni Shah, Trisha Chatterjee",pi Ventures,"$1,000,000",Seed
